feature,importance,signed_coefficient,importance_type,model
text__ai firms,0.0028780934,,tree impurity importance,XGBoost
text__time,0.0028611964,,tree impurity importance,XGBoost
text__tell,0.0028516524,,tree impurity importance,XGBoost
text__build,0.002846292,,tree impurity importance,XGBoost
text__lost,0.0028409876,,tree impurity importance,XGBoost
text__intelligence,0.0028303906,,tree impurity importance,XGBoost
text__powerful,0.0028180869,,tree impurity importance,XGBoost
text__studies,0.0028177835,,tree impurity importance,XGBoost
text__australia,0.002804608,,tree impurity importance,XGBoost
text__maker,0.0027994332,,tree impurity importance,XGBoost
text__department,0.0027802214,,tree impurity importance,XGBoost
text__role,0.0027733427,,tree impurity importance,XGBoost
text__high,0.002763377,,tree impurity importance,XGBoost
text__rights,0.0027409436,,tree impurity importance,XGBoost
text__app,0.002735862,,tree impurity importance,XGBoost
text__agency,0.0027241914,,tree impurity importance,XGBoost
text__history,0.0027219243,,tree impurity importance,XGBoost
text__game,0.002701863,,tree impurity importance,XGBoost
text__uk ai,0.0026956222,,tree impurity importance,XGBoost
text__number,0.0026905145,,tree impurity importance,XGBoost
text__wants,0.0026793252,,tree impurity importance,XGBoost
text__transform,0.002676824,,tree impurity importance,XGBoost
text__tom,0.0026698029,,tree impurity importance,XGBoost
numeric__has_election_misinformation,0.002668316,,tree impurity importance,XGBoost
text__development,0.0026476213,,tree impurity importance,XGBoost
text__stock,0.0026375432,,tree impurity importance,XGBoost
text__political,0.0026359821,,tree impurity importance,XGBoost
text__health,0.0026311667,,tree impurity importance,XGBoost
text__big,0.0026217033,,tree impurity importance,XGBoost
text__billionaire,0.002613189,,tree impurity importance,XGBoost
text__developing,0.002609972,,tree impurity importance,XGBoost
text__ai powered,0.0025667294,,tree impurity importance,XGBoost
text__artists,0.0025390221,,tree impurity importance,XGBoost
text__better,0.0025370643,,tree impurity importance,XGBoost
text__year,0.0025239354,,tree impurity importance,XGBoost
text__interview,0.0025120415,,tree impurity importance,XGBoost
text__grok,0.00250952,,tree impurity importance,XGBoost
text__twitter,0.002506453,,tree impurity importance,XGBoost
text__hopes,0.0025025657,,tree impurity importance,XGBoost
text__prompt,0.0024963333,,tree impurity importance,XGBoost
text__stop,0.002445644,,tree impurity importance,XGBoost
text__person,0.0024362176,,tree impurity importance,XGBoost
text__medical,0.0024279999,,tree impurity importance,XGBoost
text__week,0.0024099753,,tree impurity importance,XGBoost
text__isn,0.0024096225,,tree impurity importance,XGBoost
text__voice,0.0023714493,,tree impurity importance,XGBoost
text__chinese,0.002303502,,tree impurity importance,XGBoost
text__affairs,0.002296874,,tree impurity importance,XGBoost
text__face,0.0022374631,,tree impurity importance,XGBoost
text__said,0.0022361607,,tree impurity importance,XGBoost
text__altman,0.0022278002,,tree impurity importance,XGBoost
text__says,0.0021514772,,tree impurity importance,XGBoost
text__human,0.0021391327,,tree impurity importance,XGBoost
text__facebook,0.0021324574,,tree impurity importance,XGBoost
numeric__year,0.002081557,,tree impurity importance,XGBoost
text__data,0.002052312,,tree impurity importance,XGBoost
text__fears,0.0019754542,,tree impurity importance,XGBoost
text__researchers say,0.001962715,,tree impurity importance,XGBoost
text__artificial intelligence,0.0019570503,,tree impurity importance,XGBoost
text__experts warn,0.001955068,,tree impurity importance,XGBoost
text__warn,0.0019538146,,tree impurity importance,XGBoost
numeric__headline_word_count,0.0019537213,,tree impurity importance,XGBoost
text__policy,0.0019449374,,tree impurity importance,XGBoost
text__technology,0.0019214593,,tree impurity importance,XGBoost
text__ai chatbot,0.0019115106,,tree impurity importance,XGBoost
text__tech firms,0.0017731054,,tree impurity importance,XGBoost
text__china,0.0017704032,,tree impurity importance,XGBoost
text__make,0.0017654268,,tree impurity importance,XGBoost
text__uk government,0.0017578354,,tree impurity importance,XGBoost
text__growing,0.0017514616,,tree impurity importance,XGBoost
text__online,0.0017280258,,tree impurity importance,XGBoost
text__california,0.0016537409,,tree impurity importance,XGBoost
text__say,0.0016258623,,tree impurity importance,XGBoost
text__artificial,0.0015869518,,tree impurity importance,XGBoost
numeric__has_jobs_labor,0.001451147,,tree impurity importance,XGBoost
text__president,0.0013456658,,tree impurity importance,XGBoost
text__companies,0.0013335396,,tree impurity importance,XGBoost
numeric__sentiment_compound,0.0013012879,,tree impurity importance,XGBoost
text__google deepmind,0.0012973403,,tree impurity importance,XGBoost
text__amid,0.001259314,,tree impurity importance,XGBoost
text__tech firm,0.0012425171,,tree impurity importance,XGBoost
numeric__month_num,0.0012211846,,tree impurity importance,XGBoost
numeric__n_format_tags,0.0011036211,,tree impurity importance,XGBoost
text__starmer,0.0010844409,,tree impurity importance,XGBoost
text__students,0.0009839487,,tree impurity importance,XGBoost
numeric__format_features,0.00094438245,,tree impurity importance,XGBoost
text__ai company,0.0009408682,,tree impurity importance,XGBoost
text__social,0.00094059395,,tree impurity importance,XGBoost
text__potential,0.0009081176,,tree impurity importance,XGBoost
text__zuckerberg,0.0007206247,,tree impurity importance,XGBoost
text__emissions,0.0003623855,,tree impurity importance,XGBoost
text__xai,5.280513e-05,,tree impurity importance,XGBoost
text__plans,9.37399e-06,,tree impurity importance,XGBoost
text__productivity,0.0,,tree impurity importance,XGBoost
text__product,0.0,,tree impurity importance,XGBoost
text__production,0.0,,tree impurity importance,XGBoost
text__position,0.0,,tree impurity importance,XGBoost
text__poses,0.0,,tree impurity importance,XGBoost
text__rest,0.0,,tree impurity importance,XGBoost
text__productivity commission,0.0,,tree impurity importance,XGBoost
text__profession,0.0,,tree impurity importance,XGBoost
text__lord,0.0,,tree impurity importance,XGBoost
text__pop,0.0,,tree impurity importance,XGBoost
text__profound,0.0,,tree impurity importance,XGBoost
text__response,0.0,,tree impurity importance,XGBoost
text__profits,0.0,,tree impurity importance,XGBoost
text__politics,0.0,,tree impurity importance,XGBoost
text__poll,0.0,,tree impurity importance,XGBoost
text__profit,0.0,,tree impurity importance,XGBoost
text__professor,0.0,,tree impurity importance,XGBoost
text__responses,0.0,,tree impurity importance,XGBoost
text__poor,0.0,,tree impurity importance,XGBoost
text__professionals,0.0,,tree impurity importance,XGBoost
text__posed,0.0,,tree impurity importance,XGBoost
text__pope,0.0,,tree impurity importance,XGBoost
text__professional,0.0,,tree impurity importance,XGBoost
text__popular,0.0,,tree impurity importance,XGBoost
text__porn,0.0,,tree impurity importance,XGBoost
text__pornography,0.0,,tree impurity importance,XGBoost
text__portrait,0.0,,tree impurity importance,XGBoost
text__portraits,0.0,,tree impurity importance,XGBoost
text__responsible,0.0,,tree impurity importance,XGBoost
text__pose,0.0,,tree impurity importance,XGBoost
text__positive,0.0,,tree impurity importance,XGBoost
text__prepare,0.0,,tree impurity importance,XGBoost
text__produced,0.0,,tree impurity importance,XGBoost
text__prime minister,0.0,,tree impurity importance,XGBoost
text__predicted,0.0,,tree impurity importance,XGBoost
text__prediction,0.0,,tree impurity importance,XGBoost
text__predictions,0.0,,tree impurity importance,XGBoost
text__rethink,0.0,,tree impurity importance,XGBoost
text__private,0.0,,tree impurity importance,XGBoost
text__predicts,0.0,,tree impurity importance,XGBoost
text__privacy,0.0,,tree impurity importance,XGBoost
text__return,0.0,,tree impurity importance,XGBoost
text__returns,0.0,,tree impurity importance,XGBoost
text__prime,0.0,,tree impurity importance,XGBoost
text__produce,0.0,,tree impurity importance,XGBoost
text__prices,0.0,,tree impurity importance,XGBoost
text__premier,0.0,,tree impurity importance,XGBoost
text__price,0.0,,tree impurity importance,XGBoost
text__looking,0.0,,tree impurity importance,XGBoost
text__prevent,0.0,,tree impurity importance,XGBoost
text__programme,0.0,,tree impurity importance,XGBoost
text__pressure,0.0,,tree impurity importance,XGBoost
text__press,0.0,,tree impurity importance,XGBoost
text__preparing,0.0,,tree impurity importance,XGBoost
text__reveal,0.0,,tree impurity importance,XGBoost
text__pro,0.0,,tree impurity importance,XGBoost
text__pre,0.0,,tree impurity importance,XGBoost
text__praises,0.0,,tree impurity importance,XGBoost
